cod_ibge,nome_municipio,drs,rgi_codigo,rgi_nome,lat,lon
3509809,Campos Novos Paulista,IX - Marília,3504,Marília,-22.61088441283973,-50.01019496703135
3509908,Cananéia,XII - Registro,3502,Sorocaba,-25.018418841294842,-48.00857089985146
3509957,Canas,XVII - Taubaté,3511,São José dos Campos,-22.730104323385376,-45.041287747169825
3510005,Cândido Mota,IX - Marília,3504,Marília,-22.808600595216014,-50.42165955719662
3510104,Cândido Rodrigues,III - Araraquara,3509,Araraquara,-21.342813726181983,-48.62864595999127
3510153,Canitar,IX - Marília,3504,Marília,-23.01879710706631,-49.791925787667594
3510203,Capão Bonito,XVI - Sorocaba,3502,Sorocaba,-24.039213863046697,-48.289860442517075
3510302,Capela Do Alto,XVI - Sorocaba,3502,Sorocaba,-23.46744530131775,-47.73103123446295
3510401,Capivari,X - Piracicaba,3510,Campinas,-22.980701604516817,-47.47805423259501
3510500,Caraguatatuba,XVII - Taubaté,3511,São José dos Campos,-23.639621209798047,-45.48783309724814
3510609,Carapicuíba,I - Grande São Paulo,3501,São Paulo,-23.549956795542066,-46.84190575428339
3510708,Cardoso,XV - São José do Rio Preto,3507,São José do Rio Preto,-20.067160544906177,-49.94753569652936
3510807,Casa Branca,XIV - São João da Boa Vista,3510,Campinas,-21.800516983170958,-47.08813020202681
3510906,Cássia Dos Coqueiros,XIII - Ribeirão Preto,3508,Ribeirão Preto,-21.263244343370303,-47.1439737089693
3511003,Castilho,II - Araçatuba,3506,Araçatuba,-20.897672185651825,-51.5702334758543
3511102,Catanduva,XV - São José do Rio Preto,3507,São José do Rio Preto,-21.133767473017482,-48.96367308609435
3511201,Catiguá,XV - São José do Rio Preto,3507,São José do Rio Preto,-21.06279103234254,-49.052732205778014
3511300,Cedral,XV - São José do Rio Preto,3507,São José do Rio Preto,-20.91388739301496,-49.26396912744139
3511409,Cerqueira César,VI - Bauru,3502,Sorocaba,-23.059319764321362,-49.143792812522584
3511508,Cerquilho,XVI - Sorocaba,3502,Sorocaba,-23.187106337275427,-47.75706518550913
3511607,Cesário Lange,XVI - Sorocaba,3502,Sorocaba,-23.216561410423957,-47.90389916966526
3511706,Charqueada,X - Piracicaba,3510,Campinas,-22.530208925006864,-47.74626497674865
3511904,Clementina,II - Araçatuba,3506,Araçatuba,-21.570247951560916,-50.46008413054374
3512001,Colina,V - Barretos,3508,Ribeirão Preto,-20.746151393066665,-48.58895189970959
3512100,Colômbia,V - Barretos,3508,Ribeirão Preto,-20.26689742090319,-48.72176124772274
3512209,Conchal,X - Piracicaba,3510,Campinas,-22.369297052965543,-47.141163623753755
3512308,Conchas,VI - Bauru,3503,Bauru,-22.965642720505837,-48.047076547299675
3512407,Cordeirópolis,X - Piracicaba,3510,Campinas,-22.4795027976493,-47.41479657825197
3512506,Coroados,II - Araçatuba,3506,Araçatuba,-21.375626071182563,-50.30346270255317
3512605,Coronel Macedo,VI - Bauru,3502,Sorocaba,-23.630138954035292,-49.30677564477852
3512704,Corumbataí,X - Piracicaba,3510,Campinas,-22.23640933771987,-47.61109422256856
3512803,Cosmópolis,VII - Campinas,3510,Campinas,-22.65170641235558,-47.186405482365785
3512902,Cosmorama,XV - São José do Rio Preto,3507,São José do Rio Preto,-20.442526407774253,-49.774583018569
3513009,Cotia,I - Grande São Paulo,3501,São Paulo,-23.67514294534083,-46.96045832533397
3513108,Cravinhos,XIII - Ribeirão Preto,3508,Ribeirão Preto,-21.33964685663064,-47.74457886629536
3513207,Cristais Paulista,VIII - Franca,3508,Ribeirão Preto,-20.371342148567226,-47.40090707295158
3513306,Cruzália,IX - Marília,3504,Marília,-22.738063663099332,-50.76909881748131
3513405,Cruzeiro,XVII - Taubaté,3511,São José dos Campos,-22.55138789640608,-45.00632822564376
3513504,Cubatão,IV - Baixada Santista,3501,São Paulo,-23.865867691474765,-46.40825198808917
3513603,Cunha,XVII - Taubaté,3511,São José dos Campos,-23.052882992194867,-44.94211784429606
3513702,Descalvado,III - Araraquara,3509,Araraquara,-21.88121800533661,-47.654628981805246
3513801,Diadema,I - Grande São Paulo,3501,São Paulo,-23.697157455322902,-46.61137002678978
3513850,Dirce Reis,XV - São José do Rio Preto,3507,São José do Rio Preto,-20.448475044914836,-50.62815814586497
3513900,Divinolândia,XIV - São João da Boa Vista,3510,Campinas,-21.661730916002735,-46.6974014190109
3514007,Dobrada,III - Araraquara,3509,Araraquara,-21.516149003208245,-48.35741237744843
3514106,Dois Córregos,VI - Bauru,3503,Bauru,-22.396032974639013,-48.34050465419035
3514205,Dolcinópolis,XV - São José do Rio Preto,3507,São José do Rio Preto,-20.117280573661798,-50.52831850256315
3514304,Dourado,III - Araraquara,3509,Araraquara,-22.117203728314564,-48.333398928870686
3514403,Dracena,XI - Presidente Prudente,3505,Presidente Prudente,-21.556679604782452,-51.58408135228224
3514502,Duartina,VI - Bauru,3503,Bauru,-22.393308929528313,-49.4133386283335
3514601,Dumont,XIII - Ribeirão Preto,3508,Ribeirão Preto,-21.24709042474293,-47.97975409769934
3514700,Echaporã,IX - Marília,3504,Marília,-22.448340519561473,-50.20068275323759
3514809,Eldorado,XII - Registro,3502,Sorocaba,-24.495065112228836,-48.23361857420796
3514908,Elias Fausto,X - Piracicaba,3510,Campinas,-23.070636413664754,-47.370687768428034
3514924,Elisiário,XV - São José do Rio Preto,3507,São José do Rio Preto,-21.16132076838989,-49.092084606892975
3514957,Embaúba,XV - São José do Rio Preto,3507,São José do Rio Preto,-20.952900497721483,-48.84759840583472
3515004,Embu Das Artes,I - Grande São Paulo,3501,São Paulo,-23.65135522277233,-46.85152330192083
3515103,Embu-Guaçu,I - Grande São Paulo,3501,São Paulo,-23.854372179233767,-46.83069692853985
3515129,Emilianópolis,XI - Presidente Prudente,3505,Presidente Prudente,-21.800946025466438,-51.47213987146525
3515152,Engenheiro Coelho,X - Piracicaba,3510,Campinas,-22.48708318567283,-47.17482111237256
3515186,Espírito Santo Do Pinhal,XIV - São João da Boa Vista,3510,Campinas,-22.192423830135855,-46.79327697616559
3515194,Espírito Santo Do Turvo,IX - Marília,3504,Marília,-22.67085186051503,-49.432944847908395
3515202,Estrela D'oeste,XV - São José do Rio Preto,3507,São José do Rio Preto,-20.265726722059192,-50.41151951152583
3515301,Estrela Do Norte,XI - Presidente Prudente,3505,Presidente Prudente,-22.48563861638787,-51.66906270844751
3515350,Euclides Da Cunha Paulista,XI - Presidente Prudente,3505,Presidente Prudente,-22.51894200234211,-52.588678052449666
3515400,Fartura,VI - Bauru,3504,Marília,-23.39017842806492,-49.519652502386094
3515509,Fernandópolis,XV - São José do Rio Preto,3507,São José do Rio Preto,-20.27177206769681,-50.28296752279865
3515608,Fernando Prestes,XV - São José do Rio Preto,3507,São José do Rio Preto,-21.310302333690803,-48.69570910794852
3515657,Fernão,IX - Marília,3504,Marília,-22.3658471190139,-49.54239288392106
3515707,Ferraz De Vasconcelos,I - Grande São Paulo,3501,São Paulo,-23.560946753057845,-46.37396358127953
3515806,Flora Rica,XI - Presidente Prudente,3505,Presidente Prudente,-21.698457876136153,-51.37421410209635
3515905,Floreal,XV - São José do Rio Preto,3507,São José do Rio Preto,-20.669644404115896,-50.15491818624899
3516002,Flórida Paulista,IX - Marília,3505,Presidente Prudente,-21.540043656010347,-51.17069825448671
3516101,Florínea,IX - Marília,3504,Marília,-22.881273585692313,-50.69537880362485
3516200,Franca,VIII - Franca,3508,Ribeirão Preto,-20.555246908628988,-47.381055897314056
3516309,Francisco Morato,I - Grande São Paulo,3501,São Paulo,-23.273716083230347,-46.72363659585541
3516408,Franco Da Rocha,I - Grande São Paulo,3501,São Paulo,-23.314178477257627,-46.735747638671214
3516507,Gabriel Monteiro,II - Araçatuba,3506,Araçatuba,-21.499634478389478,-50.56480683209532
3516606,Gália,IX - Marília,3504,Marília,-22.320488123435275,-49.57778206695768
3516705,Garça,IX - Marília,3504,Marília,-22.230987019683063,-49.68964687303657
3516804,Gastão Vidigal,XV - São José do Rio Preto,3506,Araçatuba,-20.804275177441642,-50.20263550862968
3516853,Gavião Peixoto,III - Araraquara,3509,Araraquara,-21.791679612715217,-48.44796833091777
3516903,General Salgado,XV - São José do Rio Preto,3506,Araçatuba,-20.638241076337955,-50.41580359293266
3517000,Getulina,VI - Bauru,3504,Marília,-21.783210300075755,-50.02792248509196
3517109,Glicério,II - Araçatuba,3506,Araçatuba,-21.340306338821932,-50.19892797032054
3517208,Guaiçara,VI - Bauru,3503,Bauru,-21.56954059973936,-49.762704912842985
3517307,Guaimbê,IX - Marília,3504,Marília,-21.878563921690915,-49.86073524477705
3517406,Guaíra,V - Barretos,3508,Ribeirão Preto,-20.31406374712077,-48.36412634127071
3517505,Guapiaçu,XV - São José do Rio Preto,3507,São José do Rio Preto,-20.74283341348655,-49.18991051016741
3517604,Guapiara,XVI - Sorocaba,3502,Sorocaba,-24.212526333002636,-48.55580027319442
3517703,Guará,VIII - Franca,3508,Ribeirão Preto,-20.482537199203982,-47.77521383530521
3517802,Guaraçaí,II - Araçatuba,3506,Araçatuba,-21.086456394797658,-51.279473312426795
3517901,Guaraci,V - Barretos,3508,Ribeirão Preto,-20.374796943684668,-49.00279505698764
3518008,Guarani D'oeste,XV - São José do Rio Preto,3507,São José do Rio Preto,-20.06688658132641,-50.344695098492785
3518107,Guarantã,IX - Marília,3503,Bauru,-21.916133194325443,-49.58839474493628
3518206,Guararapes,II - Araçatuba,3506,Araçatuba,-21.285278570506417,-50.695158443151875
3518305,Guararema,I - Grande São Paulo,3501,São Paulo,-23.427592734147378,-46.058560417370586
3518404,Guaratinguetá,XVII - Taubaté,3511,São José dos Campos,-22.793506810384013,-45.232836834573895
3518503,Guareí,XVI - Sorocaba,3502,Sorocaba,-23.370516402511413,-48.21912109033785
3518602,Guariba,XIII - Ribeirão Preto,3508,Ribeirão Preto,-21.395904462135217,-48.22644440725978
3518701,Guarujá,IV - Baixada Santista,3501,São Paulo,-23.95124396098206,-46.23515578221003
3518800,Guarulhos,I - Grande São Paulo,3501,São Paulo,-23.40270331556417,-46.45481377725621
3518859,Guatapará,XIII - Ribeirão Preto,3508,Ribeirão Preto,-21.4533367639821,-47.97990806058928
3518909,Guzolândia,II - Araçatuba,3506,Araçatuba,-20.628531474411982,-50.713604281378075
3519006,Herculândia,IX - Marília,3504,Marília,-21.962372418286662,-50.37321528853772
3519055,Holambra,VII - Campinas,3510,Campinas,-22.63033062266843,-47.06505409127416
3519071,Hortolândia,VII - Campinas,3510,Campinas,-22.87847254823608,-47.20777701539513
3519105,Iacanga,VI - Bauru,3503,Bauru,-21.89093780598337,-49.03963812283358
3519204,Iacri,IX - Marília,3504,Marília,-21.799844996118114,-50.619458379700376
3519253,Iaras,VI - Bauru,3502,Sorocaba,-22.819215246508545,-49.10679697456788
3519303,Ibaté,III - Araraquara,3509,Araraquara,-21.95089704585848,-48.02721731139649
3519402,Ibirá,XV - São José do Rio Preto,3507,São José do Rio Preto,-21.074747115344554,-49.220395060965636
3519501,Ibirarema,IX - Marília,3504,Marília,-22.813242826878163,-50.07688109209138
3519600,Ibitinga,III - Araraquara,3509,Araraquara,-21.792909974239578,-48.84788115400524
3519709,Ibiúna,XVI - Sorocaba,3502,Sorocaba,-23.802401302151907,-47.215273007244306
3519808,Icém,XV - São José do Rio Preto,3507,São José do Rio Preto,-20.367259498263312,-49.185315700429186
3519907,Iepê,XI - Presidente Prudente,3505,Presidente Prudente,-22.64859110012106,-51.0571589846571
3520004,Igaraçu Do Tietê,VI - Bauru,3503,Bauru,-22.54171819602135,-48.57452865404196
3520103,Igarapava,VIII - Franca,3508,Ribeirão Preto,-20.063669136124478,-47.68243802810046
3520202,Igaratá,XVII - Taubaté,3511,São José dos Campos,-23.13483842482057,-46.15035630791981
3520301,Iguape,XII - Registro,3502,Sorocaba,-24.549486725724215,-47.474319644184085
3520400,Ilhabela,XVII - Taubaté,3511,São José dos Campos,-23.848501748923816,-45.323260632619075
3520426,Ilha Comprida,XII - Registro,3502,Sorocaba,-24.859224086975235,-47.71560153673879
